Statement,Country,% agreeing with statement
I trust that companies that use  artificial intelligence will protect  my personal data ,Thailand,68%
Products and services using  artificial intelligence  make me excited,Thailand,76%
Products and services using artificial intelligence make me nervous,Thailand,52%
I know which types of products and  services use artificial intelligence ,Thailand,69%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Thailand,73%
Products and services using  artificial intelligence  make me excited,Turkey,70%
Products and services using artificial intelligence make me nervous,Turkey,53%
I trust that companies that use  artificial intelligence will protect  my personal data ,Turkey,46%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Turkey,61%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Turkey,76%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Turkey,61%
I know which types of products and  services use artificial intelligence ,Turkey,67%
I have a good understanding of what  artificial intelligence is ,Turkey,74%
I have a good understanding of what  artificial intelligence is ,United States,68%
I know which types of products and  services use artificial intelligence ,United States,39%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,United States,37%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,United States,58%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,United States,41%
I trust that companies that use  artificial intelligence will protect  my personal data ,United States,33%
Products and services using artificial intelligence make me nervous,United States,64%
Products and services using  artificial intelligence  make me excited,United States,34%
