Statement,Country,pp. change
I have a good understanding of what  artificial intelligence is ,South Korea,-4%
I know which types of products and  services use artificial intelligence ,South Korea,-3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Korea,-2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Korea,-2%
Products and services using  artificial intelligence  make me excited ,South Korea,-3%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,South Korea,-4%
I trust that companies that use  artificial intelligence will protect  my personal data ,South Korea,-3%
Products and services using artificial  intelligence make me nervous ,South Korea,-3%
Products and services using artificial  intelligence make me nervous ,Spain,-3%
I have a good understanding of what  artificial intelligence is ,Spain,-1%
I know which types of products and  services use artificial intelligence ,Spain,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Spain,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Spain,-2%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Spain,1%
I trust that companies that use  artificial intelligence will protect  my personal data ,Spain,-1%
Products and services using  artificial intelligence  make me excited ,Spain,-4%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Sweden,0%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Sweden,-3%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Sweden,0%
I trust that companies that use  artificial intelligence will protect  my personal data ,Sweden,-4%
I have a good understanding of what  artificial intelligence is ,Sweden,-2%
I know which types of products and  services use artificial intelligence ,Sweden,3%
Products and services using artificial  intelligence make me nervous ,Sweden,3%
Products and services using  artificial intelligence  make me excited ,Sweden,3%
I have a good understanding of what  artificial intelligence is ,Thailand,-3%
I know which types of products and  services use artificial intelligence ,Thailand,-4%
Products and services using  artificial intelligence  make me excited ,Thailand,-4%
I trust that companies that use  artificial intelligence will protect  my personal data ,Thailand,-3%
Products and services using artificial  intelligence make me nervous ,Thailand,-4%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Thailand,-1%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Thailand,-9%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Thailand,1%
Products and services using  artificial intelligence  make me excited ,Turkey,-4%
I have a good understanding of what  artificial intelligence is ,Turkey,1%
I know which types of products and  services use artificial intelligence ,Turkey,-3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Turkey,-5%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Turkey,-2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Turkey,-10%
Products and services using artificial  intelligence make me nervous ,Turkey,-1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Turkey,-2%
Products and services using artificial  intelligence make me nervous ,United States,1%
I trust that companies that use  artificial intelligence will protect  my personal data ,United States,1%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,United States,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,United States,1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,United States,2%
I know which types of products and  services use artificial intelligence ,United States,4%
I have a good understanding of what  artificial intelligence is ,United States,1%
Products and services using  artificial intelligence  make me excited ,United States,-1%
