Year,Geographic area,Gender,AI talent representation
2016,Singapore,Female,33.43%
2016,Singapore,Male,66.57%
2017,Singapore,Female,34.27%
2017,Singapore,Male,65.73%
2018,Singapore,Female,34.34%
2018,Singapore,Male,65.66%
2019,Singapore,Female,34.99%
2019,Singapore,Male,65.02%
2020,Singapore,Female,35.62%
2020,Singapore,Male,64.38%
2021,Singapore,Female,36.30%
2021,Singapore,Male,63.70%
2022,Singapore,Female,36.77%
2022,Singapore,Male,63.23%
2023,Singapore,Female,37.02%
2023,Singapore,Male,62.98%
2024,Singapore,Female,37.09%
2024,Singapore,Male,62.91%
2016,South Africa,Female,35.74%
2016,South Africa,Male,64.27%
2017,South Africa,Female,35.22%
2017,South Africa,Male,64.78%
2018,South Africa,Female,34.79%
2018,South Africa,Male,65.21%
2019,South Africa,Female,34.38%
2019,South Africa,Male,65.62%
2020,South Africa,Female,34.34%
2020,South Africa,Male,65.66%
2021,South Africa,Female,34.46%
2021,South Africa,Male,65.54%
2022,South Africa,Female,34.33%
2022,South Africa,Male,65.67%
2023,South Africa,Female,34.60%
2023,South Africa,Male,65.40%
2024,South Africa,Female,35.29%
2024,South Africa,Male,64.71%
2016,Spain,Female,26.45%
2016,Spain,Male,73.55%
2017,Spain,Female,25.78%
2017,Spain,Male,74.23%
2018,Spain,Female,25.91%
2018,Spain,Male,74.09%
2019,Spain,Female,26.10%
2019,Spain,Male,73.90%
2020,Spain,Female,26.36%
2020,Spain,Male,73.64%
2021,Spain,Female,26.65%
2021,Spain,Male,73.35%
2022,Spain,Female,26.82%
2022,Spain,Male,73.18%
2023,Spain,Female,27.23%
2023,Spain,Male,72.77%
2024,Spain,Female,27.79%
2024,Spain,Male,72.21%
2016,Sweden,Female,27.38%
2016,Sweden,Male,72.62%
2017,Sweden,Female,26.99%
2017,Sweden,Male,73.01%
2018,Sweden,Female,26.69%
2018,Sweden,Male,73.32%
2019,Sweden,Female,26.79%
2019,Sweden,Male,73.21%
2020,Sweden,Female,27.08%
2020,Sweden,Male,72.92%
2021,Sweden,Female,27.56%
2021,Sweden,Male,72.44%
2022,Sweden,Female,27.97%
2022,Sweden,Male,72.03%
2023,Sweden,Female,28.21%
2023,Sweden,Male,71.79%
2024,Sweden,Female,28.62%
2024,Sweden,Male,71.38%
2016,Switzerland,Female,23.39%
2016,Switzerland,Male,76.62%
2017,Switzerland,Female,23.08%
2017,Switzerland,Male,76.93%
2018,Switzerland,Female,23.03%
2018,Switzerland,Male,76.97%
2019,Switzerland,Female,23.02%
2019,Switzerland,Male,76.98%
2020,Switzerland,Female,23.50%
2020,Switzerland,Male,76.50%
2021,Switzerland,Female,23.72%
2021,Switzerland,Male,76.28%
2022,Switzerland,Female,24.12%
2022,Switzerland,Male,75.88%
2023,Switzerland,Female,24.42%
2023,Switzerland,Male,75.58%
2024,Switzerland,Female,25.06%
2024,Switzerland,Male,74.94%
2016,Turkey,Female,26.04%
2016,Turkey,Male,73.96%
2017,Turkey,Female,26.39%
2017,Turkey,Male,73.61%
2018,Turkey,Female,26.15%
2018,Turkey,Male,73.85%
2019,Turkey,Female,26.27%
2019,Turkey,Male,73.73%
2020,Turkey,Female,26.03%
2020,Turkey,Male,73.97%
2021,Turkey,Female,27.00%
2021,Turkey,Male,73.00%
2022,Turkey,Female,27.36%
2022,Turkey,Male,72.64%
2023,Turkey,Female,27.84%
2023,Turkey,Male,72.16%
2024,Turkey,Female,28.76%
2024,Turkey,Male,71.24%
2016,United Arab Emirates,Female,26.61%
2016,United Arab Emirates,Male,73.39%
2017,United Arab Emirates,Female,27.47%
2017,United Arab Emirates,Male,72.54%
2018,United Arab Emirates,Female,27.87%
2018,United Arab Emirates,Male,72.13%
2019,United Arab Emirates,Female,28.18%
2019,United Arab Emirates,Male,71.82%
2020,United Arab Emirates,Female,28.50%
2020,United Arab Emirates,Male,71.50%
2021,United Arab Emirates,Female,28.86%
2021,United Arab Emirates,Male,71.14%
2022,United Arab Emirates,Female,29.17%
2022,United Arab Emirates,Male,70.83%
2023,United Arab Emirates,Female,28.92%
2023,United Arab Emirates,Male,71.08%
2024,United Arab Emirates,Female,29.39%
2024,United Arab Emirates,Male,70.61%
2016,United Kingdom,Female,25.30%
2016,United Kingdom,Male,74.70%
2017,United Kingdom,Female,25.79%
2017,United Kingdom,Male,74.22%
2018,United Kingdom,Female,26.16%
2018,United Kingdom,Male,73.84%
2019,United Kingdom,Female,26.66%
2019,United Kingdom,Male,73.34%
2020,United Kingdom,Female,27.07%
2020,United Kingdom,Male,72.93%
2021,United Kingdom,Female,27.72%
2021,United Kingdom,Male,72.28%
2022,United Kingdom,Female,28.40%
2022,United Kingdom,Male,71.60%
2023,United Kingdom,Female,29.04%
2023,United Kingdom,Male,70.96%
2024,United Kingdom,Female,29.50%
2024,United Kingdom,Male,70.50%
2016,United States,Female,32.67%
2016,United States,Male,67.33%
2017,United States,Female,32.69%
2017,United States,Male,67.31%
2018,United States,Female,32.68%
2018,United States,Male,67.32%
2019,United States,Female,32.74%
2019,United States,Male,67.26%
2020,United States,Female,32.93%
2020,United States,Male,67.07%
2021,United States,Female,33.16%
2021,United States,Male,66.84%
2022,United States,Female,33.42%
2022,United States,Male,66.58%
2023,United States,Female,33.56%
2023,United States,Male,66.45%
2024,United States,Female,33.68%
2024,United States,Male,66.32%
2016,Uruguay,Female,26.09%
2016,Uruguay,Male,73.91%
2017,Uruguay,Female,25.54%
2017,Uruguay,Male,74.46%
2018,Uruguay,Female,25.25%
2018,Uruguay,Male,74.75%
2019,Uruguay,Female,24.41%
2019,Uruguay,Male,75.59%
2020,Uruguay,Female,25.22%
2020,Uruguay,Male,74.79%
2021,Uruguay,Female,24.73%
2021,Uruguay,Male,75.27%
2022,Uruguay,Female,25.55%
2022,Uruguay,Male,74.45%
2023,Uruguay,Female,27.19%
2023,Uruguay,Male,72.81%
2024,Uruguay,Female,26.50%
2024,Uruguay,Male,73.50%
