Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,quality_index,ref_date,type
CAN,Canada,ALL,-- All countries --,All,0.47,2023-09-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2023-10-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2023-11-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2023-12-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2024-01-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2024-02-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2024-03-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.49,2024-04-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.4859999999999999,2024-05-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.4859999999999999,2024-06-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.487142857142857,2024-07-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.487142857142857,2024-08-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.4892307692307692,2024-09-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.49,2024-10-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.4846153846153846,2024-11-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.4846153846153846,2024-12-01,Text-to-text
