Model,Risk category,Refusal rate
Qwen1.5 Chat (72B) ,Privacy violations/ sensitive data,0.47
o1-mini (2024-09-12) ,Privacy violations/ sensitive data,0.43
Palmyra-X-004 ,Privacy violations/ sensitive data,0.43
Mixtral Instruct (8x22B) ,Privacy violations/ sensitive data,0.44
DeepSeek v3 ,Privacy violations/ sensitive data,0.41
Mixtral Instruct (8x7B) ,Privacy violations/ sensitive data,0.45
Mistral Large 2 (2407) ,Privacy violations/ sensitive data,0.37
Command R ,Privacy violations/ sensitive data,0.31
Command R Plus ,Privacy violations/ sensitive data,0.31
DBRX Instruct ,Privacy violations/ sensitive data,0.19
